dataAreaId,PurchaseOrderNumber,FiscalDocumentOperationTypeId,ExpectedStoreAvailableSalesDate,VendorInvoiceDeclarationId,DeliveryModeId,InvoiceAddressStreet,OrderVendorAccountNumber,Email,TransportationModeId,IsChangeManagementActive,AccountingDistributionTemplateName,DeliveryAddressDescription,VendorTransactionSettlementType,DeliveryCityInKana,DeliveryStreetInKana,ReasonComment,NumberSequenceGroupId,TransportationTemplateId,AccountingDate,CashDiscountPercentage,PurchaseOrderName,RequestedDeliveryDate,DeliveryAddressCountryRegionId,DeliveryAddressLatitude,MultilineDiscountVendorGroupCode,DeliveryAddressCity,ConfirmedDeliveryDate,PurchaseRebateVendorGroupId,InvoiceAddressCounty,ChargeVendorGroupId,RequesterPersonnelNumber,ProjectId,ShippingCarrierId,TotalDiscountPercentage,DeliveryAddressDistrictName,PriceVendorGroupCode,PurchaseOrderHeaderCreationMethod,DeliveryAddressCountyId,DeliveryAddressZipCode,IsConsolidatedInvoiceTarget,ConfirmingPurchaseOrderCode,LanguageId,ReasonCode,DeliveryAddressDunsNumber,DeliveryTermsId,BankDocumentType,ExpectedStoreReceiptDate,DeliveryAddressName,InvoiceAddressCountryRegionId,ReplenishmentServiceCategoryId,PurchaseOrderPoolId,DeliveryAddressStreetNumber,RequestedShipDate,ExpectedCrossDockingDate,InvoiceAddressStreetNumber,IsDeliveryAddressPrivate,TaxExemptNumber,FormattedInvoiceAddress,BuyerGroupId,DeliveryAddressCountryRegionISOCode,CashDiscountCode,PaymentScheduleName,IntrastatTransactionCode,URL,CurrencyCode,ConfirmingPurchaseOrderCodeLanguageId,InvoiceType,ArePricesIncludingSalesTax,DeliveryAddressLocationId,GSTSelfBilledInvoiceApprovalNumber,IsDeliveredDirectly,ConfirmedShipDate,ShipCalendarId,IntrastatStatisticsProcedureCode,InvoiceVendorAccountNumber,OverrideSalesTax,DeliveryAddressStreet,VendorOrderReference,ReplenishmentWarehouseId,FixedDueDate,TransportationDocumentLineId,SalesTaxGroupCode,IsDeliveryAddressOrderSpecific,VendorPostingProfileId,VendorPaymentMethodSpecificationName,InvoiceAddressCity,ShippingCarrierServiceGroupId,ContactPersonId,DefaultReceivingWarehouseId,EUSalesListCode,ImportDeclarationNumber,PurchaseOrderStatus,PaymentTermsName,DeliveryAddressLongitude,DocumentApprovalStatus,InvoiceAddressZipCode,ShippingCarrierServiceId,DefaultLedgerDimensionDisplayValue,DeliveryAddressTimeZone,AttentionInformation,DeliveryAddressStateId,DeliveryBuildingCompliment,IntrastatTransportModeCode,DeliveryAddressPostBox,IsOneTimeVendor,IntrastatPortId,FinTagDisplayValue,OrdererPersonnelNumber,VendorPaymentMethodName,InvoiceAddressState,DefaultReceivingSiteId,LineDiscountVendorGroupCode,TransportationRoutePlanId,ZakatContractNumber,FormattedDeliveryAddress,TotalDiscountVendorGroupCode,TradeEndCustomerAccount
ussi,00000002,,1900-01-01T12:00:00Z,,,,US_SI_000014,,,No,,Contoso Consulting USA,None,,,,,,2016-01-01T12:00:00Z,0.0,Hardware Components,2016-01-01T12:00:00Z,USA,0.0,,Redmond,1900-01-01T12:00:00Z,,,,,00000001,,0,,,Purchase,,98052,No,,en-us,,,,None,1900-01-01T12:00:00Z,Contoso Consulting USA,,,,,1900-01-01T12:00:00Z,1900-01-01T12:00:00Z,,No,,,,US,,,,,USD,,Invoice,No,000000037,,No,1900-01-01T12:00:00Z,,,US_SI_000014,No,"454 1st Street
Suite 99",,,1900-01-01T12:00:00Z,00000000-0000-0000-0000-000000000000,,No,GEN,,,,,,IncludeNot,,Invoiced,Net30,0.0,Confirmed,,,004--023,,,WA,,,,No,,,000355,,,,,,,"454 1st Street
Suite 99
Redmond, WA 98052 
USA",,
ussi,00000003,,1900-01-01T12:00:00Z,,,,US_SI_000020,,,No,,Contoso Consulting USA,None,,,,,,2016-01-01T12:00:00Z,0.0,Selected Distributors,2016-01-25T12:00:00Z,USA,0.0,,Redmond,1900-01-01T12:00:00Z,,,,,00000003,,0,,,Purchase,,98052,No,,en-us,,,,None,1900-01-01T12:00:00Z,Contoso Consulting USA,,,,,1900-01-01T12:00:00Z,1900-01-01T12:00:00Z,,No,,,,US,,,,,USD,,Invoice,No,000000037,,No,1900-01-01T12:00:00Z,,,US_SI_000020,No,"454 1st Street
Suite 99",,,1900-01-01T12:00:00Z,00000000-0000-0000-0000-000000000000,,No,GEN,,,,,,IncludeNot,,Invoiced,Net30,0.0,Confirmed,,,004--023,,,WA,,,,No,,,000355,,,,,,,"454 1st Street
Suite 99
Redmond, WA 98052 
USA",,
ussi,00000004,,1900-01-01T12:00:00Z,,,,US_SI_000015,,,No,,Contoso Consulting USA,None,,,,,,2016-02-01T12:00:00Z,0.0,Industrial Supplies,2016-02-24T12:00:00Z,USA,0.0,,Redmond,1900-01-01T12:00:00Z,,,,,00000004,,0,,,Purchase,,98052,No,,en-us,,,,None,1900-01-01T12:00:00Z,Contoso Consulting USA,,,,,1900-01-01T12:00:00Z,1900-01-01T12:00:00Z,,No,,,,US,,,,,USD,,Invoice,No,000000037,,No,1900-01-01T12:00:00Z,,,US_SI_000015,No,"454 1st Street
Suite 99",,,1900-01-01T12:00:00Z,00000000-0000-0000-0000-000000000000,,No,GEN,,,,,,IncludeNot,,Invoiced,Net30,0.0,Confirmed,,,,,,WA,,,,No,,,000355,,,,,,,"454 1st Street
Suite 99
Redmond, WA 98052 
USA",,
ussi,00000005,,1900-01-01T12:00:00Z,,,,US_SI_000014,,,No,,Contoso Consulting USA,None,,,,,,2016-02-01T12:00:00Z,0.0,Hardware Components,2016-02-22T12:00:00Z,USA,0.0,,Redmond,1900-01-01T12:00:00Z,,,,,00000005,,0,,,Purchase,,98052,No,,en-us,,,,None,1900-01-01T12:00:00Z,Contoso Consulting USA,,,,,1900-01-01T12:00:00Z,1900-01-01T12:00:00Z,,No,,,,US,,,,,USD,,Invoice,No,000000037,,No,1900-01-01T12:00:00Z,,,US_SI_000014,No,"454 1st Street
Suite 99",,,1900-01-01T12:00:00Z,00000000-0000-0000-0000-000000000000,,No,GEN,,,,,,IncludeNot,,Invoiced,Net30,0.0,Confirmed,,,004--023,,,WA,,,,No,,,000355,,,,,,,"454 1st Street
Suite 99
Redmond, WA 98052 
USA",,
ussi,00000006,,1900-01-01T12:00:00Z,,,,US_SI_000021,,,No,,Contoso Consulting USA,None,,,,,,2016-03-01T12:00:00Z,0.0,Superior Hardware Distributors,2016-03-26T12:00:00Z,USA,0.0,,Redmond,1900-01-01T12:00:00Z,,,,,00000006,,0,,,Purchase,,98052,No,,en-us,,,,None,1900-01-01T12:00:00Z,Contoso Consulting USA,,,,,1900-01-01T12:00:00Z,1900-01-01T12:00:00Z,,No,,,,US,,,,,USD,,Invoice,No,000000037,,No,1900-01-01T12:00:00Z,,,US_SI_000021,No,"454 1st Street
Suite 99",,,1900-01-01T12:00:00Z,00000000-0000-0000-0000-000000000000,,No,GEN,,,,,,IncludeNot,,Invoiced,Net30,0.0,Confirmed,,,004--023,,,WA,,,,No,,,000355,,,,,,,"454 1st Street
Suite 99
Redmond, WA 98052 
USA",,
ussi,00000007,,1900-01-01T12:00:00Z,,,,US_SI_000020,,,No,,Contoso Consulting USA,None,,,,,,2016-03-01T12:00:00Z,0.0,Selected Distributors,2016-03-23T12:00:00Z,USA,0.0,,Redmond,1900-01-01T12:00:00Z,,,,,00000007,,0,,,Purchase,,98052,No,,en-us,,,,None,1900-01-01T12:00:00Z,Contoso Consulting USA,,,,,1900-01-01T12:00:00Z,1900-01-01T12:00:00Z,,No,,,,US,,,,,USD,,Invoice,No,000000037,,No,1900-01-01T12:00:00Z,,,US_SI_000020,No,"454 1st Street
Suite 99",,,1900-01-01T12:00:00Z,00000000-0000-0000-0000-000000000000,,No,GEN,,,,,,IncludeNot,,Invoiced,Net30,0.0,Confirmed,,,004--023,,,WA,,,,No,,,000355,,,,,,,"454 1st Street
Suite 99
Redmond, WA 98052 
USA",,
ussi,00000008,,1900-01-01T12:00:00Z,,,,US_SI_000012,,,No,,Contoso Consulting USA,None,,,,,,2016-01-01T12:00:00Z,0.0,General Associates,2016-01-20T12:00:00Z,USA,0.0,,Redmond,1900-01-01T12:00:00Z,,,,,00000008,,0,,,Purchase,,98052,No,,en-us,,,,None,1900-01-01T12:00:00Z,Contoso Consulting USA,,,,,1900-01-01T12:00:00Z,1900-01-01T12:00:00Z,,No,,,,US,,,,,USD,,Invoice,No,000000037,,No,1900-01-01T12:00:00Z,,,US_SI_000012,No,"454 1st Street
Suite 99",,,1900-01-01T12:00:00Z,00000000-0000-0000-0000-000000000000,,No,GEN,,,,,,IncludeNot,,Invoiced,Net15,0.0,Confirmed,,,004--023,,,WA,,,,No,,,000355,,,,,,,"454 1st Street
Suite 99
Redmond, WA 98052 
USA",,
ussi,00000009,,1900-01-01T12:00:00Z,,,,US_SI_000012,,,No,,Contoso Consulting USA,None,,,,,,2016-01-01T12:00:00Z,0.0,General Associates,2016-01-27T12:00:00Z,USA,0.0,,Redmond,1900-01-01T12:00:00Z,,,,,00000009,,0,,,Purchase,,98052,No,,en-us,,,,None,1900-01-01T12:00:00Z,Contoso Consulting USA,,,,,1900-01-01T12:00:00Z,1900-01-01T12:00:00Z,,No,,,,US,,,,,USD,,Invoice,No,000000037,,No,1900-01-01T12:00:00Z,,,US_SI_000012,No,"454 1st Street
Suite 99",,,1900-01-01T12:00:00Z,00000000-0000-0000-0000-000000000000,,No,GEN,,,,,,IncludeNot,,Received,Net15,0.0,Confirmed,,,004--023,,,WA,,,,No,,,000355,,,,,,,"454 1st Street
Suite 99
Redmond, WA 98052 
USA",,
ussi,00000010,,1900-01-01T12:00:00Z,,,,US_SI_000014,,,No,,,None,,,,,,2016-02-01T12:00:00Z,0.0,Hardware Components,2016-02-15T12:00:00Z,,0.0,,,1900-01-01T12:00:00Z,,,,,00000010,,0,,,Purchase,,,No,,en-us,,,,None,1900-01-01T12:00:00Z,Contoso Consulting USA,,,,,1900-01-01T12:00:00Z,1900-01-01T12:00:00Z,,No,,,,,,,,,USD,,Invoice,No,,,No,1900-01-01T12:00:00Z,,,US_SI_000014,No,,,,1900-01-01T12:00:00Z,00000000-0000-0000-0000-000000000000,,No,GEN,,,,,,IncludeNot,,Received,Net30,0.0,Confirmed,,,004--023,,,,,,,No,,,,,,,,,,,,
usmf,000002,,1900-01-01T12:00:00Z,,10,,US-102,,,No,,Site 1,None,,,,,,2016-08-15T12:00:00Z,2.0,Tailspin Parts,2016-08-20T12:00:00Z,USA,0.0,03,Galvin,1900-01-01T12:00:00Z,,,,,,,0,,Domestic,Purchase,ASOTIN,98544,No,,en-us,,,FOB,None,1900-01-01T12:00:00Z,Site 1,,,01,,1900-01-01T12:00:00Z,1900-01-01T12:00:00Z,,No,,,10,US,2%D30,,,,USD,,Invoice,No,000001098,,No,1900-01-01T12:00:00Z,,,US-102,No,"213 South Street, Gate 1",,,1900-01-01T12:00:00Z,00000000-0000-0000-0000-000000000000,IL,No,GEN,,,,,,IncludeNot,,Invoiced,Net30,0.0,Confirmed,,,001--,,,WA,,,,No,,,,CHECK,,1,03,,,"213 South Street, Gate 1
Galvin, WA 98544 
USA",03,
